ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
dance		0	Танцы	dance	танцевальные стили	icons/dance.png					
dance_1	dance	1	Эстрадный танец	estrada	для детей от 7 до 14 лет	https://pride34.ru/wp-content/uploads/2021/04/popdance-section-cover-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/popdance-section-cover-480x320.jpg	Обучение основ современных и модных танцевальных направлений. Зажигательные тренировки для детей от 7 до 14 лет			
dance_2	dance	1	Современная хореография	modern	для детей от 10 лет	https://pride34.ru/wp-content/uploads/2021/04/sovremennaja-horeografija.jpg	https://pride34.ru/wp-content/uploads/2021/04/sovremennaja-horeografija.jpg	Хореография для детей от 10 лет даст возможность овладеть своим телом, развить пластику, координацию, воображение и навык выразительного танца.			
dance_3	dance	1	Фитнес-танцы	fitdance		https://pride34.ru/wp-content/uploads/2021/04/fitness-dancing-cover-300x200.jpg	https://pride34.ru/wp-content/uploads/2021/04/fitness-dancing-cover-300x200.jpg	Направление сотканное из грациозных танцевальных движений и силового фитнеса. На тренировках прокачивается каждая мышца тела и полностью раскрывается женский потенциал.			
dance_4	dance	1	Бальные танцы	ballroom	Для мальчиков и девочек возраста 5-16 лет	https://pride34.ru/wp-content/uploads/2021/04/sportivnye-tancy-300x200.jpg	https://pride34.ru/wp-content/uploads/2021/04/sportivnye-tancy-300x200.jpg	Ваш билет в спортивное будущее. Тренирующиеся, после первого года обучения, выходят на соревнования от Всероссийской федерации танцевального спорта и акробатического рок-н-ролла!			
dance_5	dance	1	Ladys Dance	ladys_dance	танцы и пластика	https://pride34.ru/wp-content/uploads/2021/04/6A7A9570-480x320.jpg	https://pride34.ru/wp-content/uploads/2021/04/6A7A9570-480x320.jpg	Женственные танцы и пластика			
dance_6	dance	1	Восточные танцы	oriental_dance	Таинственные танцы востока	https://pride34.ru/wp-content/uploads/2024/01/vostocjnye-480x320.jpg	https://pride34.ru/wp-content/uploads/2024/01/vostocjnye-480x320.jpg	Таинственные танцы востока			
dance_7	dance	1	Бачата	bachata	стиль из Доминиканы	https://pride34.ru/wp-content/uploads/2023/07/bachata-cover-150x100.jpg	https://pride34.ru/wp-content/uploads/2023/07/bachata-cover-150x100.jpg	Чувственный танец свободы и страсти, который развивает пластику, координацию и чувство ритма. Занятия проходят с тренером Евгением Яныбаевым: Пн–Пт 20:00–21:00 (для новичков) и 20:00–22:00 (для продолжающих). Стоимость: разовое — 400 р; 8 занятий — 3000 р; 12 занятий — 3500 р.			
