ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
winter		0	Зимние	winter	зимние виды спорта	icons/arena.png					
winter_1	winter	1	Хоккей	hockey	набор детей от 4 лет	https://pride34.ru/wp-content/uploads/2022/12/hokkey-cover-480x320.jpg	covers/hokkey.jpg	Набираем мальчиков и девочек с 4 лет. Тренировки проходят на крытой ледовой арене «Прайд» по методике «Красная машина» с участием в турнирах и отборе в профессиональные клубы. Стоимость: разовая тренировка — 650 р; 8 тренировок — 3900 р; 12 тренировок — 5800 р; пробное занятие и коньки на первую тренировку бесплатно.			
winter_2	winter	1	Фигурное катание	skating	для детей от 3,5	https://pride34.ru/wp-content/uploads/2022/12/figurnoe-cover-480x320.jpg	covers/figurnoe.jpg	Фигурное катание развивает гибкость, силу, координацию и артистизм. Занятия подходят детям и взрослым, помогают освоить элементы скольжения, вращения и прыжков. Стоимость: разовая тренировка — 650 р; 8 тренировок — 3900 р; 12 тренировок — 5800 р; пробное занятие бесплатно. Расписание и тренер уточняйте у администратора.			
