ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
men		0	Мужские	men	для мужчин	icons/mans.png					
men_1	men	1	Настольный теннис	table_tennis	Тренировки по настольному теннису	https://pride34.ru/wp-content/uploads/2021/04/nastolnyj-tennis-150x100.jpg	https://pride34.ru/wp-content/uploads/2021/04/nastolnyj-tennis-150x100.jpg	Настольный теннис развивает ловкость, точность движений, скорость реакции и помогает сохранить зрение. Тренер Сергей Харчуков.<br>Расписание: Вт, Чт 17:30–21:00; Сб 15:30–18:00<br>1 занятие — 400 р; 4 занятия — 1200 р; 8 занятий — 2400 р; 12 занятий — 3000 р			
men_2	men	1	Теннис	big_tennis	уроки большого тенниса	https://pride34.ru/wp-content/uploads/2023/06/bigtennis-small-cover-150x100.jpg	https://pride34.ru/wp-content/uploads/2023/06/bigtennis-small-cover-150x100.jpg	Занятия большим теннисом для взрослых улучшают координацию, скорость реакции и выносливость. Индивидуальные тренировки по 1000 р/час и групповые занятия (8 тренировок — 3600 р; 12 тренировок — 5000 р) под руководством Дмитрия Железняка проходят во Вт, Чт и Сб 17:00–18:00.			
men_3	men	1	Кикбоксинг	kickboxing	Cиловой и скоростной вид единоборства	https://pride34.ru/wp-content/uploads/2021/04/kikboxing-cover.jpg	https://pride34.ru/wp-content/uploads/2021/04/kikboxing-cover.jpg	Тренировки укрепляют мышцы, развивают выносливость, скорость и координацию. Занятия проходят под руководством Мурада Абулбекова. 1 занятие — 400 р; 8 занятий — 2000 р; 12 занятий — 2500 р.			
men_4	men	1	Бачата	bachata	танцевальный стиль из Доминиканы	https://pride34.ru/wp-content/uploads/2023/07/bachata-cover-150x100.jpg	https://pride34.ru/wp-content/uploads/2023/07/bachata-cover-150x100.jpg	Чувственный танец свободы и страсти, который развивает пластику, координацию и чувство ритма. Занятия проходят с тренером Евгением Яныбаевым: Пн–Пт 20:00–21:00 (для новичков) и 20:00–22:00 (для продолжающих). Стоимость: разовое — 400 р; 8 занятий — 3000 р; 12 занятий — 3500 р.			
