ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
field		0	Арендовать поле	field		icons/field.png					
field_1	field	1	Ледовая арена	rent_ice	аренда крытой ледовой арены	https://pride34.ru/wp-content/uploads/2024/10/arendaled-icon-256x256.jpg	https://pride34.ru/wp-content/uploads/2024/10/arendaled-icon-256x256.jpg	Приглашаем как начинающие, так и профессиональные команды по хоккею и фигурному катанию. Предлагаем организацию любительских матчей и турниров. Арена оборудована зонами для отработки бросков, комфортными раздевалками и relax‑зоной. Забронировать можно по телефону 50‑95‑50.			
field_2	field	1	Волейбольное поле	volleyball_field	Аренда песчаного волейбольного поля	https://pride34.ru/wp-content/uploads/2024/10/volleybolpole-icon-256x256.jpg	https://pride34.ru/wp-content/uploads/2024/10/volleybolpole-icon-256x256.jpg	Три современных песчаных площадки для пляжного волейбола подходят для любителей и профессионалов. Аренда 1 площадки (3 часа) — 1200 р; 2 площадок (3 часа) — 2000 р; 3 площадок (3 часа) — 3000 р. Забронировать по телефону 50‑95‑50.			
field_3	field	1	Минифутбольное поле и теннисный корт	football_tennis_field	минифутбол и теннис	https://pride34.ru/wp-content/uploads/2024/10/futboltennis-icon-256x256.jpg	https://pride34.ru/wp-content/uploads/2024/10/futboltennis-icon-256x256.jpg	Наше поле подходит для игры в минифутбол и теннис, создавая отличные условия для спорта на свежем воздухе. 1000 р — час теннисного корта; 2000 р — час футбольного поля. Позвоните 50‑95‑50, чтобы забронировать ваше время.			
