ID	Родитель	Уровень	Название	Значение	Подпись	Иконка	Обложка	Краткое описание	Полное описание	Расписание	Цена
event		0	Мероприятие	event	Корпоративные мероприятия в СК Прайд	icons/event.png	https://pride34.ru/wp-content/uploads/2023/10/lion_in_corporative_style.png	По вопросам организации корпоративных мероприятий на территории спортивного комплекса обращайтесь по телефону (8442) 50‑95‑50.			
event_1	event	1	Детские праздники	kids_party	организация детских праздников	https://pride34.ru/wp-content/uploads/2024/10/detprazdnik-icon-256x256.jpg	https://pride34.ru/wp-content/uploads/2024/10/detprazdnik-icon-256x256.jpg	Весёлые и яркие детские праздники с аниматорами, играми, мастер‑классами и подарками. Мы организуем дни рождения, выпускные и тематические вечера для детей любого возраста. Детская игровая комната, аквагрим, шоу‑программы и торт сделают праздник незабываемым.			
event_2	event	1	Выпускные и последний звонок	graduation	организация выпускного и последнего звонка	https://pride34.ru/wp-content/uploads/2024/10/vypusknoy-icon-256x256.jpg	https://pride34.ru/wp-content/uploads/2024/10/vypusknoy-icon-256x256.jpg	Полный комплекс услуг для последнего звонка и выпускного: просторный зал, праздничное меню, развлекательная программа, фотозона и украшения. Мы поможем провести незабываемое событие для школьников и их родителей.			
event_3	event	1	Корпоративные мероприятия	corp_event	организация корпоративов	https://pride34.ru/wp-content/uploads/2024/10/corp-icon-256x256.jpg	https://pride34.ru/wp-content/uploads/2024/10/corp-icon-256x256.jpg	Организуем корпоративные мероприятия на территории СК: тимбилдинг, празднование новогодних и профессиональных праздников, спортивные турниры.			
